ID,Longitude,Latitude
1,-123.93600000000,46.30320000000
2,-123.73600000000,46.66720000000
3,-123.73700000000,46.67020000000
4,-123.95200000000,46.38110000000
5,-123.79400000000,46.66100000000
6,-123.66300000000,46.67620000000
7,-123.56800000000,46.56180000000
8,-123.74900000000,46.68280000000
9,-123.72900000000,46.35710000000
10,-123.55800000000,46.62770000000
11,-123.85300000000,46.26020000000
12,-123.71900000000,46.66650000000
13,-123.94900000000,46.62550000000
14,-124.03900000000,46.31030000000
15,-123.51200000000,46.53990000000
16,-123.67400000000,46.38480000000
17,-123.78900000000,46.66520000000
18,-123.92000000000,46.42650000000
19,-123.62100000000,46.58540000000
20,-123.94600000000,46.62190000000
21,-123.73800000000,46.35470000000
22,-123.49800000000,46.77550000000
23,-123.89000000000,46.49490000000
24,-123.49200000000,46.53230000000
25,-123.54300000000,46.55810000000
26,-123.64900000000,46.62370000000
27,-123.86800000000,46.52510000000
28,-123.87200000000,46.42090000000
29,-123.93700000000,46.40930000000
30,-123.89000000000,46.53600000000
31,-123.74000000000,46.69370000000
32,-123.87900000000,46.24430000000
33,-123.73900000000,46.70100000000
34,-123.83200000000,46.37630000000
35,-123.74200000000,46.67530000000
36,-123.92300000000,46.25230000000
37,-123.74800000000,46.74460000000
38,-123.69300000000,46.66850000000
39,-123.87600000000,46.63190000000
40,-123.74200000000,46.69680000000
41,-123.92100000000,46.25330000000
42,-123.72400000000,46.65500000000
43,-123.69300000000,46.66450000000
44,-123.73400000000,46.35420000000
45,-123.82800000000,46.60450000000
46,-123.76000000000,46.37030000000
47,-123.87900000000,46.62570000000
48,-123.82800000000,46.68370000000
49,-123.66100000000,46.41140000000
50,-123.92800000000,46.25950000000
51,-123.87900000000,46.25820000000
52,-123.88600000000,46.50410000000
53,-123.85600000000,46.40910000000
54,-123.76800000000,46.68890000000
55,-123.73400000000,46.74260000000
56,-123.86900000000,46.25610000000
57,-123.72800000000,46.68680000000
58,-123.83400000000,46.68990000000
59,-123.82400000000,46.64250000000
60,-123.67000000000,46.60730000000
61,-123.74200000000,46.72230000000
62,-123.63200000000,46.58730000000
63,-123.40600000000,46.54670000000
64,-123.90000000000,46.55620000000
65,-123.95100000000,46.36540000000
66,-123.54200000000,46.63380000000
67,-123.56800000000,46.56150000000
68,-123.62000000000,46.59050000000
69,-123.82300000000,46.58160000000
70,-123.85200000000,46.25800000000
71,-123.70100000000,46.75050000000
72,-123.82700000000,46.66060000000
73,-123.87800000000,46.46450000000
74,-123.74000000000,46.69680000000
75,-123.71900000000,46.66440000000
76,-123.66600000000,46.41260000000
77,-123.70300000000,46.67570000000
78,-123.83600000000,46.39690000000
79,-123.72100000000,46.68470000000
80,-123.76100000000,46.75310000000
81,-124.06400000000,46.30480000000
82,-124.04400000000,46.30720000000
83,-123.87100000000,46.42020000000
84,-123.53800000000,46.55620000000
85,-123.61800000000,46.56880000000
86,-123.59800000000,46.58550000000
87,-123.95600000000,46.31610000000
88,-123.89500000000,46.43500000000
89,-123.71200000000,46.74690000000
90,-124.00800000000,46.32280000000
91,-123.68400000000,46.38800000000
92,-123.66300000000,46.67610000000
93,-123.82200000000,46.27030000000
94,-123.92700000000,46.64550000000
95,-123.58800000000,46.78670000000
96,-123.57100000000,46.57240000000
97,-123.95200000000,46.61970000000
98,-123.93900000000,46.30210000000
99,-123.77200000000,46.36390000000
100,-123.58000000000,46.78540000000
101,-123.95400000000,46.63040000000
102,-123.66600000000,46.65610000000
103,-123.56900000000,46.57770000000
104,-123.67500000000,46.74980000000
105,-123.73000000000,46.39750000000
106,-123.50900000000,46.77420000000
107,-123.78300000000,46.66930000000
108,-123.88900000000,46.53710000000
109,-123.83800000000,46.26460000000
110,-124.03200000000,46.30790000000
111,-123.74500000000,46.67220000000
112,-123.54900000000,46.78370000000
113,-123.82600000000,46.61410000000
114,-123.79400000000,46.66390000000
115,-123.52300000000,46.53880000000
116,-123.62300000000,46.64450000000
117,-123.61500000000,46.56070000000
118,-124.00300000000,46.72820000000
119,-123.77300000000,46.36590000000
120,-123.74800000000,46.69410000000
121,-123.87600000000,46.25710000000
122,-123.85300000000,46.65500000000
123,-123.89700000000,46.43530000000
124,-123.80800000000,46.66180000000
125,-123.55300000000,46.77880000000
126,-123.72800000000,46.66480000000
127,-123.74800000000,46.68470000000
128,-123.75700000000,46.37350000000
129,-123.98100000000,46.32110000000
130,-123.42900000000,46.79460000000
131,-123.75800000000,46.68400000000
132,-123.88600000000,46.68510000000
133,-123.68200000000,46.61700000000
134,-123.65400000000,46.64840000000
135,-123.63300000000,46.62860000000
136,-124.01400000000,46.35420000000
137,-123.97900000000,46.70660000000
138,-124.05300000000,46.27930000000
139,-123.65400000000,46.65180000000
140,-123.79700000000,46.66300000000
141,-124.03000000000,46.30940000000
142,-123.58700000000,46.62220000000
143,-123.74900000000,46.69050000000
144,-124.06400000000,46.29800000000
145,-123.63700000000,46.76570000000
146,-123.73500000000,46.36930000000
147,-123.77000000000,46.68120000000
148,-123.40200000000,46.54570000000
149,-123.94200000000,46.27980000000
150,-123.59100000000,46.58790000000
151,-123.70400000000,46.67540000000
152,-123.82700000000,46.71180000000
153,-123.96400000000,46.29900000000
154,-123.74600000000,46.67450000000
155,-123.94400000000,46.61920000000
156,-123.72900000000,46.68570000000
157,-123.92100000000,46.25340000000
158,-123.74000000000,46.67540000000
159,-123.67400000000,46.40970000000
160,-123.78400000000,46.66570000000
161,-123.87300000000,46.52510000000
162,-123.88600000000,46.50260000000
163,-123.76200000000,46.66790000000
