,assessment_get,assistance_get,claim_get,damage_state,damage_state_start,damage_value,damage_value_start,gave_up_home_search,gave_up_money_search,home_get,inspection_get,latitude,loan_get,longitude,permit_get,story
1599,40.59030431159365,,34.408660692276776,None,Slight,0.0,3896.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373989,,-124.056151,72.54735118363425,
1600,40.59030431159365,,34.408660692276776,None,Slight,0.0,3896.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373729,,-124.057963,72.54735118363425,
1601,40.59030431159365,,34.408660692276776,None,Slight,0.0,3896.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373808,,-124.057962,72.54735118363425,
1602,40.59030431159365,,34.408660692276776,None,Slight,0.0,7126.0,0.0,0.0,74.54735118363425,4.819766138112079,46.370739,,-124.056022,72.54735118363425,
1603,40.59030431159365,,34.408660692276776,None,Slight,0.0,5890.0,0.0,0.0,74.54735118363425,4.819766138112079,46.370733,,-124.055753,72.54735118363425,
1604,40.59030431159365,,34.408660692276776,None,Slight,0.0,3040.0,0.0,0.0,74.54735118363425,4.819766138112079,46.374064,,-124.055248,72.54735118363425,
1605,40.59030431159365,,34.408660692276776,None,Slight,0.0,3040.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373974,,-124.055395,72.54735118363425,
1606,40.59030431159365,,34.408660692276776,None,Slight,0.0,3896.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373979,,-124.055612,72.54735118363425,
1607,40.59030431159365,,34.408660692276776,None,Slight,0.0,3040.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373805,,-124.055356,72.54735118363425,
1608,40.59030431159365,,34.408660692276776,None,Slight,0.0,3896.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373812,,-124.055661,72.54735118363425,
1609,40.59030431159365,,34.408660692276776,None,Slight,0.0,3040.0,0.0,0.0,74.54735118363425,4.819766138112079,46.373672,,-124.055347,72.54735118363425,
1610,40.59030431159365,,34.408660692276776,None,Extensive,0.0,51937.5,0.0,0.0,102.54735118363425,4.819766138112079,46.481675,,-124.049213,72.54735118363425,
1611,40.59030431159365,,34.408660692276776,None,Extensive,0.0,52837.5,0.0,0.0,102.54735118363425,4.819766138112079,46.444543,,-124.026813,72.54735118363425,
1612,40.59030431159365,,34.408660692276776,None,Complete,0.0,327699.99999999994,0.0,0.0,132.54735118363425,4.819766138112079,46.402304,,-124.054822,72.54735118363425,
1613,40.59030431159365,,34.408660692276776,None,Extensive,0.0,63300.0,0.0,0.0,102.54735118363425,4.819766138112079,46.476369,,-124.04608,72.54735118363425,
1614,11.001409757428954,,,None,Slight,0.0,2146.0,0.0,0.0,47.95845662946956,4.819766138112079,46.357662,,-124.053957,42.95845662946956,
1615,40.59030431159365,,34.408660692276776,None,Moderate,0.0,43170.0,0.0,0.0,102.54735118363425,4.819766138112079,46.359202,,-124.05467,72.54735118363425,
1616,11.001409757428954,,,None,Slight,0.0,2629.2291999999998,0.0,0.0,47.95845662946956,4.819766138112079,46.346897,,-124.0521,42.95845662946956,
1617,11.001409757428954,,,None,Slight,0.0,1102.0,0.0,0.0,47.95845662946956,4.819766138112079,46.343559,,-124.053785,42.95845662946956,
1618,11.001409757428954,,,None,Slight,0.0,932.0,0.0,0.0,47.95845662946956,4.819766138112079,46.343696,,-124.053791,42.95845662946956,
1619,11.001409757428954,,,None,Slight,0.0,794.0,0.0,0.0,47.95845662946956,4.819766138112079,46.345052,,-124.053152,42.95845662946956,
1620,11.001409757428954,,,None,Slight,0.0,1748.0,0.0,0.0,47.95845662946956,4.819766138112079,46.362258,,-124.053331,42.95845662946956,
1621,40.59030431159365,,34.408660692276776,None,Moderate,0.0,65840.0,0.0,0.0,102.54735118363425,4.819766138112079,46.34573,,-124.057012,72.54735118363425,
1622,40.59030431159365,,34.408660692276776,None,Slight,0.0,3660.0,0.0,0.0,77.54735118363425,4.819766138112079,46.363189,,-124.054182,72.54735118363425,
1623,40.59030431159365,,34.408660692276776,None,Moderate,0.0,60819.99999999999,0.0,0.0,102.54735118363425,4.819766138112079,46.359989,,-124.05102,72.54735118363425,
1624,40.59030431159365,,34.408660692276776,None,Slight,0.0,4430.0,0.0,0.0,77.54735118363425,4.819766138112079,46.533057,,-124.034556,72.54735118363425,
1625,11.001409757428954,,,None,Moderate,0.0,2350.0,0.0,0.0,72.95845662946957,4.819766138112079,46.678023,,-123.741718,42.95845662946956,
1626,40.59030431159365,,34.408660692276776,None,Slight,0.0,2724.0,0.0,0.0,74.54735118363425,4.819766138112079,46.678399,,-123.746743,72.54735118363425,
1627,11.001409757428954,,,None,Moderate,0.0,300.0,0.0,0.0,72.95845662946957,4.819766138112079,46.697529,,-123.739222,42.95845662946956,
1628,11.001409757428954,,,None,Moderate,0.0,1200.0,0.0,0.0,72.95845662946957,4.819766138112079,46.694481,,-123.742828,42.95845662946956,
1629,11.001409757428954,,,None,Slight,0.0,142.0,0.0,0.0,44.95845662946956,4.819766138112079,46.486925,,-124.050387,42.95845662946956,
1630,11.001409757428954,,,None,Slight,0.0,224.0,0.0,0.0,44.95845662946956,4.819766138112079,46.484534,,-124.05082,42.95845662946956,
1631,11.001409757428954,,,None,Slight,0.0,278.0,0.0,0.0,44.95845662946956,4.819766138112079,46.494032,,-124.042744,42.95845662946956,
1632,11.001409757428954,,,None,Slight,0.0,292.0,0.0,0.0,44.95845662946956,4.819766138112079,46.494367,,-124.040316,42.95845662946956,
1633,11.001409757428954,,,None,Slight,0.0,76.0,0.0,0.0,44.95845662946956,4.819766138112079,46.738506,,-124.076578,42.95845662946956,
1634,11.001409757428954,,,None,Slight,0.0,40.0,0.0,0.0,44.95845662946956,4.819766138112079,46.742291,,-124.084061,42.95845662946956,
1635,11.001409757428954,,,None,Slight,0.0,898.0,0.0,0.0,44.95845662946956,4.819766138112079,46.747138,,-124.084738,42.95845662946956,
1636,11.001409757428954,,,None,Slight,0.0,524.0,0.0,0.0,44.95845662946956,4.819766138112079,46.749035,,-124.084539,42.95845662946956,
1637,11.001409757428954,,,None,Slight,0.0,156.0,0.0,0.0,44.95845662946956,4.819766138112079,46.749867,,-124.084544,42.95845662946956,
1638,11.001409757428954,,,None,Slight,0.0,176.0,0.0,0.0,44.95845662946956,4.819766138112079,46.720266,,-124.012903,42.95845662946956,
